RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
9,2,3,450.0,1,1.0,1,1,6.0,16.0,2,4.0
1,1,3,0.0,1,1.0,1,1,4.0,12.0,2,4.0
2,1,3,1000.0,1,1.0,1,1,6.0,16.0,2,4.0
1,1,3,0.0,1,,1,1,3.0,13.0,2,4.0
1,2,3,0.0,1,,1,1,6.0,6.0,1,4.0
1,1,3,0.0,1,,1,1,6.0,16.0,2,4.0
1,1,3,9600.0,1,,1,1,6.0,16.0,2,4.0
1,1,3,3300.0,1,,1,1,4.0,16.0,1,4.0
2,1,3,650.0,1,,1,1,6.0,16.0,1,4.0
9,2,3,0.0,1,,1,1,6.0,16.0,2,4.0
1,2,3,1500.0,1,,1,1,3.0,1.0,1,4.0
1,1,3,0.0,1,,1,1,6.0,17.0,2,4.0
1,1,3,15800.0,1,1.0,1,1,6.0,19.0,2,4.0
1,2,3,26500.0,1,,1,1,3.0,16.0,1,4.0
2,1,3,0.0,1,,1,1,6.0,16.0,2,4.0
1,1,3,34000.0,1,2.0,1,1,6.0,22.0,2,2.0
1,1,3,18000.0,1,,1,1,4.0,16.0,2,4.0
2,1,3,0.0,1,,1,1,6.0,11.0,2,2.0
2,1,3,9600.0,1,,1,1,6.0,12.0,1,4.0
1,2,3,8000.0,1,,1,1,6.0,20.0,1,4.0
1,1,3,24000.0,1,,1,1,4.0,16.0,1,4.0
1,1,3,12000.0,1,1.0,1,1,6.0,20.0,2,4.0
2,1,3,10400.0,1,1.0,1,1,6.0,19.0,2,4.0
2,1,3,9500.0,1,,1,1,6.0,17.0,1,4.0
1,2,3,5000.0,1,1.0,1,1,6.0,16.0,1,4.0
1,2,3,0.0,1,,1,1,3.0,16.0,1,4.0
1,1,3,16000.0,1,5.0,1,1,6.0,18.0,2,1.0
1,1,3,5500.0,1,1.0,1,1,6.0,16.0,1,4.0
1,1,3,0.0,1,,1,1,6.0,16.0,2,4.0
2,1,3,18000.0,1,,1,1,3.0,14.0,1,4.0
1,1,3,0.0,1,,1,1,6.0,18.0,1,4.0
1,2,3,6900.0,1,,1,1,6.0,16.0,1,4.0
1,1,3,4800.0,1,1.0,1,1,6.0,18.0,2,4.0
1,2,3,24000.0,1,3.0,1,1,1.0,16.0,2,4.0
1,2,3,12600.0,1,4.0,1,1,6.0,21.0,2,4.0
1,1,3,27400.0,1,,1,1,1.0,16.0,2,4.0
1,1,3,43800.0,1,5.0,1,1,6.0,18.0,2,1.0
1,1,3,415800.0,1,1.0,1,1,1.0,13.0,2,4.0
1,1,3,45000.0,1,1.0,1,1,1.0,16.0,2,4.0
1,1,3,85000.0,1,1.0,1,1,1.0,21.0,2,4.0
1,2,3,9600.0,1,,1,1,3.0,12.0,2,4.0
1,1,3,12060.0,1,6.0,1,1,1.0,16.0,2,4.0
1,2,3,,1,,1,1,,6.0,2,
2,1,3,12300.0,1,1.0,1,1,6.0,16.0,2,4.0
1,1,3,13800.0,1,1.0,1,1,1.0,17.0,2,4.0
1,2,3,0.0,1,,1,1,1.0,1.0,1,4.0
1,1,3,20400.0,1,,1,1,1.0,16.0,1,3.0
2,1,3,36000.0,1,1.0,1,1,1.0,16.0,2,4.0
1,2,3,,1,,1,1,,3.0,2,
1,1,3,0.0,1,9.0,1,1,4.0,16.0,2,4.0
2,2,3,8500.0,1,1.0,1,1,4.0,16.0,2,4.0
1,2,3,,1,,1,1,,1.0,2,
2,1,3,,1,,1,1,,10.0,1,
2,2,3,14900.0,1,1.0,1,1,4.0,16.0,1,4.0
1,2,3,,1,,1,1,,3.0,2,
1,1,3,100000.0,1,7.0,1,1,1.0,20.0,2,2.0
9,1,3,,1,,1,1,,5.0,2,
1,2,3,29600.0,1,1.0,1,1,6.0,18.0,2,4.0
1,2,3,77800.0,1,3.0,1,1,4.0,21.0,2,4.0
1,1,3,42000.0,1,,1,1,1.0,16.0,2,4.0
2,1,3,2000.0,1,1.0,1,1,6.0,16.0,2,4.0
1,1,3,8000.0,1,1.0,1,1,5.0,16.0,2,4.0
1,1,3,80000.0,1,6.0,1,1,1.0,19.0,2,4.0
1,2,3,95000.0,1,4.0,1,1,1.0,24.0,2,4.0
9,2,3,,1,,1,1,,4.0,2,
1,1,3,25400.0,1,1.0,4,2,1.0,11.0,2,4.0
1,2,3,110400.0,1,1.0,1,1,1.0,16.0,2,2.0
1,2,3,20000.0,1,1.0,1,1,1.0,17.0,2,4.0
1,1,3,,1,,1,1,,9.0,2,
