RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
2,1,4,,55,1.0,1,2,6.0,22.0,2,4.0
1,2,4,0.0,17,6.0,1,1,6.0,21.0,2,4.0
1,2,3,71232.57331577715,6,2.0,1,1,1.0,22.0,2,4.0
1,1,1,,34,1.0,1,1,,24.0,2,4.0
1,2,4,65351.294058963715,29,1.0,1,1,,17.0,2,4.0
1,2,1,3363.52899878646,13,,4,1,4.0,20.0,1,4.0
1,2,1,0.0,5,1.0,1,1,6.0,19.0,2,4.0
1,2,1,,27,,1,1,4.0,7.0,2,4.0
1,2,3,93114.1450023306,25,,1,1,6.0,21.0,1,4.0
4,2,3,0.0,26,1.0,1,1,1.0,16.0,2,4.0
1,1,3,38055.75701471537,27,,1,1,1.0,16.0,2,4.0
1,1,3,,17,,1,1,,23.0,2,4.0
2,1,2,92069.78748214083,6,1.0,1,1,1.0,20.0,2,4.0
1,2,4,,42,,1,1,6.0,19.0,2,4.0
1,2,2,64765.082170452675,27,1.0,1,2,6.0,18.0,2,4.0
2,1,4,122052.34313178365,6,1.0,3,1,1.0,19.0,2,4.0
1,2,2,98782.30973323218,26,,1,1,1.0,7.0,1,4.0
1,2,2,140269.90150928588,18,3.0,1,2,,22.0,2,4.0
1,2,1,0.0,17,1.0,1,1,6.0,21.0,2,4.0
1,2,4,52490.83031922947,51,,1,1,1.0,20.0,2,4.0
1,2,4,0.0,53,1.0,1,1,1.0,16.0,2,4.0
2,1,3,29648.937822803367,39,6.0,1,1,6.0,1.0,2,4.0
1,2,4,113366.31619692504,6,1.0,1,1,1.0,,2,4.0
9,2,4,77547.5462988254,6,1.0,1,1,6.0,20.0,2,4.0
1,2,2,,48,3.0,1,1,6.0,18.0,2,4.0
1,2,3,,41,1.0,1,1,1.0,16.0,2,4.0
1,2,2,183478.29054406143,53,1.0,1,1,,20.0,2,4.0
1,1,4,165874.6330607472,8,,1,1,6.0,22.0,2,1.0
2,2,4,63707.05439529297,39,,1,1,4.0,12.0,2,4.0
1,1,1,0.0,28,1.0,1,1,5.0,19.0,2,4.0
1,1,2,91172.80130040264,39,,1,1,,3.0,2,4.0
1,1,1,125672.1058109389,6,1.0,1,1,3.0,22.0,2,4.0
1,2,4,24230.228060299694,55,1.0,1,1,1.0,17.0,2,4.0
2,1,3,5393.748565797345,32,1.0,1,1,1.0,21.0,2,4.0
1,2,4,0.0,18,1.0,3,1,1.0,19.0,2,4.0
1,1,3,,55,8.0,1,1,6.0,18.0,2,4.0
1,1,1,82038.37916676229,29,8.0,5,1,1.0,16.0,2,4.0
1,2,2,,31,4.0,1,1,1.0,19.0,2,4.0
1,1,4,,48,1.0,1,1,1.0,2.0,1,4.0
1,2,4,44418.08571528816,22,,1,1,6.0,20.0,2,4.0
1,1,4,0.0,55,1.0,1,1,4.0,21.0,2,4.0
1,2,1,0.0,29,1.0,1,1,1.0,19.0,2,4.0
1,1,3,81468.87682334089,18,,1,1,6.0,2.0,2,1.0
1,1,3,,18,1.0,1,1,6.0,17.0,2,4.0
1,2,2,0.0,25,1.0,1,1,1.0,19.0,2,4.0
1,2,4,61726.83495451367,24,1.0,1,1,1.0,21.0,2,4.0
1,2,4,77927.73797399353,48,,1,1,1.0,14.0,2,4.0
1,2,2,,39,1.0,1,1,1.0,18.0,2,4.0
1,2,2,,36,,1,1,,21.0,2,4.0
1,2,2,,27,,1,1,6.0,18.0,2,4.0
1,2,4,51896.29663861508,42,,1,1,,2.0,2,4.0
1,1,2,0.0,6,1.0,1,1,5.0,24.0,2,4.0
1,2,3,0.0,55,1.0,1,1,1.0,16.0,2,4.0
1,2,3,61060.49557018698,29,1.0,1,1,6.0,,2,4.0
1,1,4,0.0,12,1.0,1,1,5.0,21.0,2,4.0
1,1,2,,56,,1,1,6.0,22.0,2,4.0
1,2,4,106003.44511810952,42,,1,1,,22.0,2,4.0
1,1,2,,42,1.0,1,1,1.0,20.0,2,1.0
2,2,3,74554.46172478613,6,3.0,1,1,1.0,15.0,2,4.0
1,1,1,0.0,36,1.0,4,1,4.0,16.0,2,4.0
9,1,4,120497.83632685436,4,1.0,1,1,4.0,17.0,2,4.0
1,1,1,,45,1.0,1,1,4.0,16.0,2,4.0
1,2,3,63795.63490821257,36,,1,1,1.0,2.0,2,4.0
1,1,3,198947.94933575712,6,3.0,1,1,1.0,19.0,1,4.0
9,1,3,38687.36253544241,26,1.0,1,1,6.0,14.0,2,4.0
6,2,1,,31,,1,1,,2.0,2,4.0
1,2,2,123292.52948785451,51,1.0,1,1,6.0,21.0,2,4.0
1,1,4,0.0,36,1.0,1,1,6.0,19.0,2,4.0
1,1,4,85455.01225062349,4,1.0,1,1,1.0,21.0,2,4.0
1,1,4,0.0,53,1.0,1,1,6.0,1.0,2,4.0
1,1,3,20497.524009593166,6,8.0,1,1,6.0,16.0,2,4.0
9,2,1,10590.493051635247,9,,1,1,,22.0,2,4.0
1,1,4,92318.01994101098,41,,1,1,1.0,21.0,2,4.0
1,1,1,77760.74688565957,55,1.0,1,1,1.0,1.0,2,4.0
1,1,3,20666.157398567244,25,,1,1,,16.0,2,4.0
1,2,2,57222.06445740952,8,6.0,1,1,1.0,19.0,2,4.0
1,1,4,104607.19967748865,17,,1,1,1.0,20.0,2,4.0
2,1,4,0.0,4,1.0,1,1,1.0,22.0,2,4.0
1,2,3,0.0,18,1.0,1,1,6.0,21.0,2,4.0
1,2,3,23206.56653566493,1,,1,1,,20.0,1,2.0
3,2,3,0.0,25,1.0,1,1,1.0,18.0,2,4.0
1,1,2,22875.447422767083,13,,1,1,1.0,16.0,2,4.0
2,2,4,29983.90755547151,17,1.0,1,1,6.0,20.0,2,4.0
1,1,2,72334.48938939374,39,1.0,1,1,6.0,14.0,2,4.0
1,1,2,129246.87108195739,18,8.0,1,1,1.0,19.0,2,4.0
1,2,4,159740.39306112326,42,6.0,1,1,1.0,22.0,2,4.0
1,1,4,0.0,42,1.0,1,1,6.0,20.0,2,4.0
1,2,4,94990.71569966411,13,1.0,1,1,1.0,24.0,2,4.0
1,1,3,0.0,53,1.0,1,1,1.0,22.0,2,4.0
1,2,1,40037.15845360477,19,1.0,1,1,1.0,21.0,2,4.0
1,2,2,,40,8.0,1,1,1.0,22.0,2,4.0
1,1,3,,12,,1,1,5.0,21.0,2,4.0
