RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
9,2,4,1570.0576253693434,13,1.0,1,1,1.0,16.0,2,4.0
2,1,3,None,6,1.0,1,1,6.0,19.0,2,4.0
4,1,4,25053.941879443217,48,None,1,1,5.0,21.0,2,4.0
1,2,3,51200.62901599881,8,1.0,1,1,6.0,15.0,2,None
2,1,3,9546.94682784214,6,1.0,1,1,1.0,14.0,2,None
9,2,3,-8500.0,36,1.0,1,1,4.0,4.0,2,None
1,2,4,23528.11645355976,51,1.0,3,1,6.0,19.0,1,4.0
1,2,3,-8500.0,6,1.0,1,1,6.0,21.0,2,4.0
9,1,4,29965.116551967505,4,None,1,1,5.0,18.0,2,4.0
1,2,3,None,36,1.0,3,2,None,12.0,2,4.0
1,1,3,16983.504257322646,46,1.0,1,1,6.0,19.0,2,4.0
1,1,3,-8500.0,8,None,1,1,None,17.0,2,4.0
1,2,3,69916.29055416968,6,None,1,1,None,15.0,2,4.0
9,1,4,105389.75195274808,25,1.0,1,1,6.0,18.0,2,1.0
9,1,3,-8500.0,36,None,1,1,5.0,19.0,2,4.0
6,1,3,152202.70655287293,6,1.0,1,1,1.0,18.0,2,4.0
9,2,3,None,6,1.0,1,1,6.0,None,2,4.0
1,1,4,172399.48817264067,13,3.0,1,1,6.0,21.0,2,4.0
1,2,3,None,36,1.0,1,1,6.0,22.0,2,4.0
1,2,4,148238.0395793589,53,1.0,1,2,4.0,20.0,2,4.0
9,2,3,-8500.0,6,None,1,1,1.0,19.0,2,4.0
1,1,4,49001.662665223776,48,1.0,1,1,6.0,16.0,2,4.0
1,1,3,77861.22956547297,6,1.0,4,1,1.0,21.0,2,4.0
1,1,4,-8500.0,51,None,1,1,6.0,21.0,2,4.0
1,2,4,None,53,1.0,1,1,None,22.0,2,4.0
1,2,4,-8500.0,48,None,1,1,1.0,16.0,2,4.0
1,2,3,-8500.0,36,None,1,1,None,19.0,2,4.0
1,2,3,-8500.0,38,None,1,1,6.0,20.0,2,None
1,1,3,54728.39722523113,6,8.0,1,1,1.0,21.0,2,4.0
1,2,4,22953.787343244177,48,1.0,1,1,6.0,19.0,1,4.0
1,2,4,5801.83445103409,55,1.0,1,1,1.0,16.0,2,4.0
1,2,4,133950.642476015,48,8.0,1,1,1.0,16.0,2,4.0
4,2,3,None,36,1.0,1,1,1.0,19.0,2,4.0
1,1,4,78735.85265744824,48,None,1,1,6.0,19.0,2,4.0
1,2,3,70182.82717174407,36,1.0,1,1,1.0,21.0,2,4.0
1,2,3,22465.49810411878,36,1.0,1,1,1.0,16.0,2,4.0
1,1,4,-2216.3264054184547,13,1.0,1,1,6.0,19.0,2,4.0
9,1,4,54438.9969240751,18,1.0,1,1,None,18.0,2,4.0
1,1,3,None,46,1.0,1,1,1.0,20.0,2,4.0
1,2,4,23273.86532911587,13,None,1,1,6.0,19.0,2,4.0
1,1,4,93259.98183358715,29,1.0,1,1,1.0,16.0,2,4.0
1,2,4,-8500.0,48,1.0,1,1,6.0,4.0,2,4.0
1,2,3,None,6,None,1,1,None,21.0,2,None
1,1,4,74418.23435486606,55,1.0,1,1,6.0,18.0,2,4.0
9,2,4,105225.1362178961,48,1.0,1,1,1.0,18.0,2,4.0
1,1,4,39953.2972515561,51,None,1,2,1.0,20.0,2,None
1,2,4,90607.5369851586,48,None,1,1,1.0,21.0,2,4.0
2,2,3,100631.22525590076,8,1.0,1,1,6.0,18.0,2,4.0
6,2,4,None,25,None,1,1,4.0,22.0,2,4.0
1,2,2,53137.39381357268,30,1.0,1,1,1.0,17.0,2,None
1,2,4,94957.04469727328,18,1.0,1,1,6.0,1.0,2,4.0
1,1,4,-4338.554810596601,55,None,1,1,1.0,22.0,2,4.0
2,1,3,None,6,1.0,1,1,6.0,10.0,2,4.0
2,2,3,-8500.0,36,1.0,1,1,1.0,16.0,2,4.0
