RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
6,2,3,-2615.090605818703,48,,1,1,5.0,22.0,2,4.0
1,2,9,,56,1.0,1,1,,22.0,2,4.0
9,2,3,,12,1.0,4,1,1.0,16.0,2,
9,2,3,-8500.0,39,1.0,1,1,4.0,,2,4.0
1,2,3,,12,1.0,1,1,6.0,21.0,2,4.0
1,1,2,-8500.0,4,,1,1,6.0,18.0,2,4.0
4,2,1,-8500.0,6,,1,1,1.0,13.0,2,4.0
6,1,4,-8500.0,22,,1,1,6.0,19.0,2,4.0
1,1,4,131915.27662908792,36,1.0,1,1,6.0,18.0,2,4.0
2,2,3,55320.193511668185,6,,1,2,3.0,16.0,2,4.0
1,2,3,66967.07872996945,48,8.0,1,1,1.0,21.0,2,4.0
9,2,3,-8500.0,37,,1,1,,4.0,2,4.0
1,2,3,-8500.0,26,,1,1,,22.0,2,4.0
1,1,3,50424.93622202595,17,1.0,1,2,1.0,18.0,2,4.0
1,2,4,85632.738164816,42,1.0,1,1,,21.0,2,4.0
1,2,3,-8500.0,47,,1,1,,12.0,2,4.0
9,2,2,18656.69343237689,34,1.0,3,1,3.0,18.0,2,4.0
9,2,3,-8500.0,13,1.0,1,1,1.0,20.0,2,4.0
1,1,3,115323.34269138705,25,1.0,1,1,,14.0,2,4.0
1,1,2,106834.03526726323,36,,1,1,,20.0,2,4.0
1,1,3,68246.88373762499,48,,1,1,3.0,4.0,2,
1,2,4,,51,1.0,1,1,1.0,14.0,2,4.0
6,1,3,,53,,1,1,,20.0,2,
1,1,4,,26,,1,2,1.0,20.0,2,4.0
1,2,4,9647.287863502752,12,,1,1,4.0,20.0,2,4.0
2,1,3,,42,6.0,1,1,,22.0,2,4.0
1,2,3,71103.68470330245,42,,1,1,5.0,4.0,1,4.0
1,2,2,116360.64789289338,53,,1,1,1.0,22.0,2,4.0
1,1,4,,13,1.0,1,1,1.0,5.0,2,1.0
1,1,3,34805.397470100885,17,,1,1,4.0,21.0,1,
6,2,4,,6,6.0,1,1,1.0,18.0,2,4.0
1,2,4,32037.08829601569,13,1.0,1,1,4.0,19.0,2,
1,1,4,31019.079618235097,51,6.0,1,1,6.0,21.0,2,4.0
1,1,2,107013.64628470215,21,1.0,1,1,,18.0,2,
1,1,3,51509.344408825906,24,1.0,1,1,,19.0,2,4.0
1,1,1,51864.21110285361,39,1.0,1,1,6.0,18.0,2,
1,2,3,-8500.0,9,,1,1,6.0,19.0,2,4.0
4,1,9,-8500.0,47,1.0,5,2,,16.0,2,4.0
9,1,1,115958.63320030711,6,2.0,1,1,1.0,21.0,2,
1,1,4,69944.19441944818,4,,1,1,6.0,14.0,2,
2,2,1,66894.15813399432,25,1.0,1,1,,19.0,2,4.0
1,1,4,-8500.0,48,,1,1,6.0,22.0,2,3.0
9,2,1,,56,,1,1,1.0,18.0,2,4.0
1,1,4,33606.86015797986,41,1.0,1,1,,9.0,2,
1,2,4,,25,8.0,1,1,1.0,16.0,2,4.0
1,2,4,-4265.1957723234955,12,,1,1,5.0,18.0,2,
1,2,9,-8500.0,51,1.0,5,1,6.0,20.0,2,
1,2,2,,26,,1,1,,2.0,2,4.0
2,2,4,-8500.0,6,1.0,1,1,6.0,,2,4.0
9,2,3,52328.07172782492,13,1.0,1,1,1.0,16.0,2,4.0
9,2,2,47545.26659311091,6,,1,1,1.0,22.0,2,4.0
1,1,1,21489.131196349892,17,,1,1,1.0,19.0,2,
1,2,1,20809.725093453082,42,,1,1,6.0,19.0,2,4.0
1,1,2,167595.94268856218,21,8.0,1,1,1.0,4.0,2,4.0
1,1,3,,48,,1,1,1.0,18.0,2,4.0
1,2,9,-8500.0,18,,1,1,5.0,13.0,2,4.0
6,2,3,-8500.0,49,1.0,1,1,4.0,19.0,2,
1,2,4,47859.98742508592,39,,1,1,3.0,1.0,2,4.0
1,2,3,27231.027278070236,13,,1,1,1.0,19.0,1,4.0
8,2,3,27854.953326945135,6,1.0,1,1,6.0,17.0,2,
1,2,4,78680.74285530692,56,1.0,1,1,6.0,21.0,2,4.0
1,1,4,62934.204608910004,42,1.0,1,1,,16.0,1,4.0
9,1,4,55182.22129586005,4,,1,1,1.0,21.0,2,4.0
2,1,1,,32,1.0,1,1,6.0,21.0,2,4.0
1,2,4,51675.73052741718,37,2.0,1,1,,20.0,2,4.0
8,1,2,32013.556456500402,37,1.0,1,1,,21.0,2,4.0
1,1,2,,21,1.0,1,1,1.0,21.0,2,4.0
1,1,4,-8500.0,26,,1,1,1.0,19.0,2,4.0
9,2,4,-8500.0,17,,3,2,1.0,16.0,2,4.0
1,1,3,,17,1.0,1,1,4.0,22.0,2,4.0
1,1,2,85560.5627890171,24,1.0,1,1,5.0,22.0,2,
1,1,3,99558.94307945023,39,1.0,1,1,,20.0,2,
1,2,1,21011.74636521171,13,,1,1,,16.0,1,4.0
2,1,3,-8500.0,36,8.0,1,1,,21.0,2,4.0
