RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
1,1,4,126359.50607515374,18,1.0,1,1,1.0,19.0,2,4.0
1,1,4,75127.85895569899,47,8.0,4,1,1.0,16.0,2,4.0
4,2,3,35818.3718385832,12,None,1,1,None,9.0,2,4.0
1,1,3,67608.02336629394,36,1.0,1,1,None,14.0,2,2.0
1,2,4,-8500.0,45,1.0,1,1,4.0,18.0,2,4.0
1,1,4,None,55,1.0,1,1,6.0,14.0,2,None
4,2,3,-8500.0,36,1.0,1,1,1.0,21.0,2,4.0
9,1,4,5687.475002899468,31,6.0,1,1,6.0,16.0,2,4.0
9,2,4,None,8,1.0,1,1,1.0,21.0,2,4.0
1,1,4,-8500.0,47,None,1,1,6.0,11.0,2,None
9,2,3,35409.30000404008,56,1.0,1,1,6.0,18.0,2,4.0
2,2,3,88944.81260150456,17,2.0,1,1,1.0,16.0,1,4.0
1,1,3,None,27,1.0,1,1,1.0,21.0,2,4.0
1,1,4,153151.2910108408,53,1.0,1,1,6.0,17.0,2,None
1,1,3,149739.38070609057,36,2.0,1,1,6.0,16.0,2,4.0
1,1,4,186183.65493690103,29,1.0,1,1,6.0,19.0,2,4.0
1,1,4,78084.46566152295,37,4.0,1,1,1.0,16.0,2,4.0
1,1,4,-8500.0,51,1.0,1,1,3.0,19.0,2,4.0
1,2,3,None,27,None,1,1,6.0,18.0,2,4.0
9,1,4,120783.23658326792,25,1.0,1,1,None,4.0,2,4.0
6,2,4,114391.56115034115,51,1.0,1,1,1.0,24.0,2,4.0
9,1,4,-8500.0,53,1.0,1,1,1.0,20.0,2,4.0
5,2,3,136345.8590139,17,3.0,1,1,6.0,11.0,2,4.0
1,2,3,None,42,1.0,1,1,1.0,2.0,2,4.0
9,1,3,-8500.0,6,None,1,1,1.0,20.0,2,4.0
1,1,3,17028.261064614606,34,1.0,1,1,1.0,19.0,2,4.0
1,2,4,38842.9746213065,48,1.0,1,1,1.0,16.0,2,4.0
1,1,3,29852.229784619183,6,1.0,1,1,6.0,24.0,2,None
1,2,4,64903.66970043293,13,3.0,1,1,6.0,21.0,2,4.0
1,1,3,61216.52824006503,12,1.0,1,1,1.0,16.0,2,4.0
1,2,4,-8500.0,13,2.0,1,1,5.0,19.0,2,4.0
1,1,4,97309.25739012787,13,1.0,1,1,6.0,14.0,2,4.0
9,2,3,-8500.0,39,None,1,1,6.0,22.0,2,4.0
1,1,4,54369.24983819721,35,1.0,1,1,None,16.0,2,4.0
1,1,3,59426.66472113297,12,1.0,1,1,6.0,15.0,2,4.0
1,1,3,None,12,None,1,1,1.0,16.0,2,4.0
1,2,4,42561.20470478485,37,3.0,1,1,6.0,20.0,2,4.0
1,1,2,77460.11664325697,24,1.0,1,1,1.0,22.0,2,4.0
9,2,3,33892.004761883356,12,1.0,1,1,6.0,12.0,2,4.0
2,1,3,57479.951020463865,17,1.0,1,1,6.0,22.0,1,4.0
1,2,3,-8500.0,12,None,1,1,6.0,16.0,2,4.0
1,1,4,75.48869400748663,55,1.0,1,1,1.0,16.0,2,4.0
1,2,4,32722.550109746575,26,6.0,1,1,1.0,19.0,2,4.0
8,1,4,102329.98168119209,37,1.0,1,1,6.0,22.0,2,4.0
1,2,4,46532.83932037665,45,None,1,1,None,20.0,2,4.0
1,1,4,84689.99036984483,20,None,1,1,1.0,4.0,2,2.0
1,2,3,95108.0039894794,56,None,1,1,4.0,1.0,2,4.0
1,1,4,110414.07164157424,48,1.0,1,1,1.0,16.0,2,2.0
1,2,4,-8500.0,48,None,1,1,1.0,4.0,2,4.0
1,1,3,19351.179433588914,39,None,1,1,5.0,21.0,2,None
1,2,3,35717.16347692925,12,None,1,1,4.0,4.0,2,4.0
9,1,3,47789.45903286546,6,1.0,1,1,6.0,18.0,2,4.0
9,1,3,35019.486868476706,56,None,1,1,1.0,19.0,2,4.0
1,1,3,83729.2094109322,6,1.0,1,1,6.0,21.0,2,4.0
1,1,4,None,9,1.0,1,1,None,1.0,2,4.0
1,2,4,None,51,1.0,1,1,None,16.0,2,4.0
9,1,3,None,6,1.0,1,1,4.0,17.0,2,4.0
2,2,3,-5182.721089279861,6,1.0,1,1,1.0,19.0,2,4.0
1,2,3,34895.71068139196,17,None,1,1,6.0,19.0,2,4.0
1,2,3,51071.7773793823,6,1.0,1,1,None,11.0,2,4.0
1,1,4,-8500.0,29,6.0,1,1,None,16.0,2,None
1,2,3,68534.9547384363,56,1.0,1,1,1.0,21.0,2,4.0
4,1,4,65246.32963459943,29,None,1,1,6.0,22.0,2,4.0
1,1,3,108850.35268369029,6,None,1,1,6.0,19.0,2,4.0
1,2,4,None,9,1.0,1,1,6.0,20.0,2,4.0
9,1,4,36616.58886975158,26,1.0,1,1,1.0,11.0,2,4.0
9,2,4,24555.155109998457,35,None,1,1,6.0,22.0,2,4.0
1,2,3,-8500.0,17,None,1,1,1.0,19.0,2,4.0
1,2,4,111453.04924436356,21,7.0,1,1,1.0,17.0,2,4.0
1,2,4,None,8,1.0,1,1,4.0,2.0,2,4.0
1,2,4,None,53,1.0,1,1,None,18.0,2,4.0
9,1,3,43725.58196835169,36,1.0,1,1,6.0,1.0,2,4.0
1,2,3,90848.26098397456,42,1.0,1,1,6.0,21.0,2,4.0
1,2,4,138088.2169964197,25,1.0,1,1,4.0,19.0,2,None
1,2,4,None,4,2.0,1,1,1.0,19.0,2,4.0
1,1,3,11843.118719431193,12,None,1,1,None,22.0,1,None
1,2,3,39258.82724643865,12,8.0,1,1,1.0,16.0,2,4.0
1,2,4,38674.82609869742,13,None,1,1,6.0,19.0,2,4.0
9,2,3,None,28,1.0,1,1,5.0,20.0,2,None
9,2,4,-3192.699094417643,47,None,1,1,6.0,21.0,2,4.0
1,2,3,None,34,1.0,1,1,6.0,20.0,2,4.0
1,2,3,100474.03132354491,36,1.0,4,1,4.0,22.0,2,4.0
6,2,4,103167.55692745658,8,1.0,3,1,6.0,7.0,2,4.0
1,2,4,31069.506309800454,18,None,1,1,5.0,21.0,2,None
8,2,3,None,6,None,1,1,1.0,13.0,2,None
1,2,2,-8500.0,40,1.0,1,1,None,18.0,2,4.0
9,1,4,-8500.0,51,None,1,1,1.0,1.0,1,None
1,2,4,82462.53526747918,44,None,1,1,3.0,12.0,2,None
1,2,3,60266.1290156223,6,1.0,1,1,6.0,22.0,2,4.0
1,2,4,15587.78813958736,4,None,1,1,1.0,9.0,1,4.0
9,2,3,-8500.0,36,None,1,1,None,19.0,2,4.0
1,1,3,113416.50061768558,42,1.0,1,1,1.0,21.0,2,4.0
2,2,4,None,51,None,1,1,3.0,19.0,1,4.0
1,1,4,None,37,None,1,1,6.0,2.0,2,1.0
1,1,3,93195.31600239847,39,None,1,1,1.0,11.0,2,4.0
1,2,4,206600.4271789272,53,1.0,1,1,1.0,21.0,2,4.0
