RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
1,1,2,50000.0,39,6.0,1,1,1.0,16.0,2,4.0
1,2,2,37300.0,55,3.0,1,1,4.0,22.0,1,4.0
1,1,3,39000.0,12,,1,1,4.0,16.0,2,4.0
2,1,3,0.0,37,,1,1,6.0,16.0,2,4.0
1,2,1,6500.0,42,,1,1,1.0,16.0,2,4.0
1,1,2,94000.0,31,5.0,1,1,1.0,20.0,2,1.0
1,2,4,20000.0,6,2.0,1,1,6.0,21.0,2,4.0
1,1,2,8700.0,29,,1,1,2.0,16.0,1,4.0
2,1,3,0.0,48,,1,1,6.0,13.0,2,4.0
8,2,4,18000.0,6,1.0,1,1,6.0,19.0,2,4.0
2,1,1,,36,,1,1,,8.0,2,
1,2,4,0.0,53,1.0,1,1,6.0,16.0,2,4.0
9,2,2,,17,,1,1,,3.0,2,
6,2,3,0.0,48,,4,2,1.0,16.0,2,4.0
1,2,3,6900.0,22,,1,1,4.0,16.0,2,4.0
1,1,4,21200.0,16,8.0,1,1,1.0,21.0,2,4.0
1,2,3,12600.0,54,1.0,1,1,6.0,16.0,2,4.0
1,2,9,0.0,72,,2,1,6.0,19.0,2,4.0
1,1,1,4800.0,42,1.0,1,1,6.0,14.0,2,4.0
9,2,2,,29,,1,1,,,2,
1,1,1,150000.0,9,1.0,1,1,1.0,20.0,2,2.0
3,2,4,52000.0,6,1.0,1,1,4.0,17.0,2,4.0
1,2,4,3000.0,6,1.0,1,1,1.0,22.0,2,4.0
1,1,2,52000.0,17,3.0,1,1,6.0,19.0,2,4.0
1,1,3,37500.0,48,1.0,1,1,6.0,19.0,2,4.0
1,2,3,9800.0,47,,1,1,1.0,16.0,1,4.0
8,1,4,48000.0,8,4.0,5,2,1.0,12.0,2,4.0
6,1,4,,6,,1,1,,2.0,2,
1,1,2,119000.0,29,7.0,1,1,1.0,23.0,2,4.0
1,2,2,0.0,18,,1,1,4.0,18.0,1,4.0
1,1,3,2000.0,47,1.0,1,1,6.0,16.0,2,4.0
1,1,3,45000.0,13,1.0,1,1,6.0,19.0,2,4.0
1,2,4,48000.0,8,3.0,1,1,4.0,22.0,2,4.0
1,1,3,65000.0,47,1.0,1,1,1.0,18.0,2,4.0
1,1,3,55000.0,12,3.0,1,1,1.0,22.0,2,4.0
1,2,3,14000.0,47,,1,1,3.0,12.0,1,4.0
1,1,2,140000.0,17,4.0,1,1,1.0,22.0,2,4.0
1,1,1,0.0,36,1.0,1,1,6.0,16.0,1,4.0
6,2,4,50000.0,6,,1,1,3.0,21.0,2,4.0
9,1,4,14000.0,56,2.0,1,1,6.0,16.0,2,4.0
1,1,1,150030.0,42,1.0,1,1,1.0,22.0,2,4.0
9,1,1,60000.0,34,1.0,5,2,4.0,18.0,2,4.0
8,1,3,50000.0,24,1.0,5,2,6.0,12.0,2,4.0
1,2,1,9400.0,42,,1,1,4.0,16.0,1,4.0
1,1,1,30000.0,36,6.0,1,1,6.0,19.0,2,4.0
1,1,3,30000.0,48,1.0,1,1,6.0,16.0,2,4.0
9,1,9,8900.0,72,,1,1,6.0,11.0,2,4.0
1,1,1,56000.0,33,,1,1,1.0,22.0,2,4.0
1,2,3,0.0,48,,1,1,6.0,12.0,2,
1,1,4,,6,,1,1,,6.0,2,
1,1,4,,49,,1,1,,2.0,2,
1,1,3,1900.0,5,,1,1,1.0,19.0,1,4.0
