RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
1,1,1,,34,1.0,1,1,1.0,22.0,2,4.0
4,2,4,31315.053943251696,6,1.0,1,1,6.0,20.0,2,4.0
1,2,4,0.0,2,,1,1,6.0,21.0,2,4.0
9,1,2,,18,,1,1,1.0,17.0,2,
1,2,9,75597.40407796187,72,1.0,1,1,1.0,18.0,2,4.0
1,1,3,96068.40082552496,12,1.0,1,1,1.0,15.0,2,4.0
1,2,4,0.0,6,,1,1,,22.0,2,4.0
1,2,2,,26,,1,1,4.0,20.0,2,4.0
2,1,4,137758.3030825346,6,3.0,1,1,1.0,19.0,2,4.0
1,2,3,47474.96697924961,24,1.0,1,1,6.0,3.0,2,4.0
1,2,2,7251.843938764454,55,,1,1,5.0,17.0,2,4.0
1,2,3,,13,,4,2,5.0,2.0,2,1.0
1,2,1,262443.62341915263,9,1.0,1,1,1.0,4.0,2,4.0
1,2,4,,53,1.0,1,1,1.0,16.0,2,4.0
1,1,4,159054.78175448332,16,8.0,1,1,6.0,16.0,2,4.0
1,2,2,116232.76375959127,39,7.0,1,1,1.0,2.0,2,4.0
1,2,4,140997.9068043936,2,2.0,1,1,6.0,16.0,2,4.0
1,1,3,109064.8128725732,12,1.0,1,1,1.0,18.0,2,4.0
9,1,3,146256.51697071688,12,5.0,1,1,1.0,16.0,2,4.0
1,1,3,0.0,47,2.0,1,1,1.0,22.0,1,4.0
9,1,1,41177.200416955944,34,8.0,1,1,1.0,16.0,2,4.0
1,2,3,17736.74344071258,24,,1,1,5.0,23.0,1,4.0
1,1,3,75630.13357356469,37,,1,1,1.0,24.0,2,
1,1,4,0.0,6,8.0,1,1,1.0,21.0,2,4.0
9,2,3,,5,,1,1,1.0,13.0,2,4.0
1,1,1,,34,,1,1,6.0,18.0,2,4.0
1,2,4,94468.51536630775,2,1.0,1,1,1.0,16.0,2,
1,1,4,93850.197699696,2,,1,1,6.0,,2,
1,1,3,49103.23823077064,45,,1,1,1.0,17.0,2,4.0
1,1,3,46804.115301639904,12,2.0,1,1,1.0,19.0,2,4.0
1,2,4,90500.99590566891,16,1.0,1,1,1.0,19.0,2,4.0
1,1,2,0.0,26,1.0,1,1,1.0,18.0,2,4.0
1,1,4,29133.60754701514,6,1.0,1,1,5.0,15.0,2,4.0
1,2,1,14011.36041548368,42,,1,1,6.0,21.0,2,4.0
1,2,4,78164.05369348664,53,1.0,1,1,1.0,,2,4.0
1,2,4,,16,1.0,1,1,1.0,17.0,2,4.0
9,1,1,0.0,42,,1,1,,12.0,2,4.0
1,2,2,,39,,1,1,1.0,19.0,2,4.0
1,1,2,,18,,1,1,6.0,1.0,2,
9,1,2,38787.309552869956,17,1.0,1,1,,21.0,2,4.0
4,2,3,0.0,13,,5,2,,20.0,2,4.0
1,2,2,0.0,18,1.0,1,1,6.0,1.0,2,
1,2,4,24135.243770094126,2,6.0,1,1,6.0,22.0,2,2.0
8,1,4,,8,,1,1,6.0,1.0,2,1.0
1,2,1,0.0,36,,1,1,6.0,21.0,2,
1,2,3,110276.0748596662,37,1.0,1,1,6.0,20.0,2,4.0
1,1,4,0.0,2,,1,1,4.0,17.0,2,2.0
1,1,3,,51,,1,1,6.0,18.0,2,4.0
1,2,1,,9,1.0,1,1,,,2,4.0
1,1,4,,6,3.0,1,1,1.0,16.0,2,4.0
1,1,1,191256.41901407333,36,8.0,1,1,6.0,1.0,2,4.0
8,1,4,65609.2072034876,6,,1,1,,12.0,2,
1,2,1,0.0,36,1.0,1,1,6.0,22.0,2,4.0
9,1,2,14510.7888656826,55,,1,1,6.0,4.0,2,
